item_slug,pref,city,lat,lng,relation_type,note_ja,note_en,source_url,source_title,source_publisher,source_accessed_at
mori-no-kumasan,熊本県,,32.7898,130.7417,名産地,熊本県のブランド米として売り出されているとされる。,Marketed as Kumamoto's brand rice.,,,,
shinnosuke,新潟県,,37.9026,139.0232,名産地,コシヒカリに続く県のブランド米として売り出されているという。,Marketed as the prefecture's follow-up brand after Koshihikari.,,,,
seiten-no-hekireki,青森県,,40.8244,140.74,名産地,青森県産としては異例の最高評価を得たとされる。,Said to have earned an unusually high rating for an Aomori-grown rice.,,,,
yukiwakamaru,山形県,,38.2404,140.3633,名産地,つや姫と並ぶ県の看板品種として展開されているという。,Promoted alongside Tsuyahime as one of the prefecture's flagship varieties.,,,,
ichihomare,福井県,,36.0652,136.2216,名産地,コシヒカリ発祥の地としての誇りを込めて開発されたとされる。,Said to have been bred with pride in the prefecture's role as Koshihikari's birthplace.,,,,
ginga-no-shizuku,岩手県,,39.7036,141.1527,名産地,県が威信をかけて売り出すブランド米の一つとされる。,Said to be one of the prefecture's showcase brand rices.,,,,
date-masayume,宮城県,,38.2682,140.8694,名産地,宮城県が満を持して売り出したブランド米とされる。,Said to be the brand rice Miyagi released after long preparation.,,,,
fufufu,富山県,,36.6953,137.2113,名産地,富山県が最新技術を投じて開発したブランド米とされる。,"Said to be Toyama's brand rice, developed with the latest breeding methods.",,,,
yumeshizuku,佐賀県,,33.2494,130.2989,名産地,さがびよりと並ぶ県の主力ブランドの一つとされる。,Said to be one of the prefecture's leading brands alongside Sagabiyori.,,,,
genkitsukushi,福岡県,,33.6064,130.4181,名産地,県のブランド化戦略の中核品種の一つとされる。,Said to be a core variety in the prefecture's branding strategy.,,,,
kirara397,北海道,,43.0642,141.3469,名産地,1988年のデビュー以降、道産米のイメージを刷新したとされる。,Said to have transformed Hokkaido rice's image since its 1988 debut.,,,,
koshiibuki,新潟県,,37.9026,139.0232,名産地,コシヒカリを補う早生品種として作付けされているとされる。,Said to be planted as an early-ripening variety to complement Koshihikari.,,,,
kamenoo,山形県,鶴岡市,38.7274,139.8271,名産地,発見地とされる庄内地方で今も栽培が続くという。,Said to still be grown in the Shonai region where it was found.,,,,
koganemochi,佐賀県,,33.2494,130.2989,名産地,九州を中心にもち米の主要産地で栽培されるという。,"Said to be grown mainly in Kyushu, a leading region for mochi rice.",,,,
himenomochi,熊本県,,32.7898,130.7417,名産地,熊本県農業研究センターで育成されたとされる。,Said to have been bred at Kumamoto's agricultural research center.,,,,
yamadanishiki,兵庫県,三木市,34.7986,134.9905,名産地,兵庫県が最大の産地とされ、特に特A地区の吉川町周辺が知られる。,"Hyogo is said to be the leading production area, especially the noted 'special A' district around Yokawa.",,,,
gohyakumangoku,新潟県,,37.9026,139.0232,名産地,県産米生産量500万石を記念して名付けられたとされる。,Said to have been named to mark the prefecture's five-millionth koku of rice production.,,,,
miyamanishiki,長野県,,36.6513,138.181,名産地,長野県のほか東北各県でも栽培が広がったとされる。,Said to have spread to prefectures across the Tohoku region as well.,,,,
omachi,岡山県,,34.6551,133.9195,名産地,岡山県が今なお主産地とされる希少な在来品種という。,Said to remain a rare landrace still centered on Okayama.,,,,
koshitanrei,新潟県,,37.9026,139.0232,名産地,新潟県農業総合研究所で育成されたとされる。,Said to have been bred at Niigata's agricultural research institute.,,,,
iwai,京都府,,35.0116,135.7681,名産地,京都府内の蔵元向けに栽培が復活したとされる。,Said to have been brought back into cultivation for brewers within the prefecture.,,,,
kyushu-amakuchi-shoyu,佐賀県,佐賀市,33.2494,130.2988,名産地,南蛮貿易で早くから砂糖が入り、甘い醤油の食文化が根付いたとされる。,"Sugar arrived early via Edo-era foreign trade, and a taste for sweet soy sauce is said to have taken root.",,,,
kyushu-amakuchi-shoyu,福岡県,福岡市,33.5904,130.4017,名産地,醸造元の数が47都道府県で最多とされ、甘口醤油の主要な生産地となっている。,"Said to have more soy sauce breweries than any other prefecture, and a major producer of sweet soy sauce.",,,,
kyushu-amakuchi-shoyu,熊本県,熊本市,32.8032,130.7079,名産地,九州甘口醤油の主要な生産・消費地の一つとされる。,One of the main production and consumption areas for Kyushu's sweet soy sauce.,,,,
kyushu-amakuchi-shoyu,大分県,臼杵市,33.1257,131.8062,名産地,老舗醸造元が集まる甘口醤油の主要産地の一つとされる。,"One of the main producing areas for sweet soy sauce, home to several long-established breweries.",,,,
kyushu-amakuchi-shoyu,鹿児島県,鹿児島市,31.5966,130.5571,名産地,九州甘口醤油の主要な生産・消費地の一つとされる。,One of the main production and consumption areas for Kyushu's sweet soy sauce.,,,,
kyushu-mugi-miso,熊本県,熊本市,32.8032,130.7079,名産地,米作りが難しい土地で麦の裏作を活かした味噌造りが根付いたとされる。,"Barley grown as a rotation crop, where rice cultivation was historically harder, is said to have shaped local miso-making.",,,,
kyushu-mugi-miso,大分県,大分市,33.2382,131.6126,名産地,麦味噌の主要な生産地の一つで、甘口で香ばしい風味が好まれるとされる。,"A major barley-miso producing area, where a sweet, toasty flavor is said to be preferred.",,,,
kyushu-mugi-miso,鹿児島県,鹿児島市,31.5966,130.5571,名産地,麦味噌の主要な生産地の一つとされる。,One of the main production areas for barley miso.,,,,
kyushu-mugi-miso,宮崎県,宮崎市,31.9111,131.4239,名産地,麦味噌の主要な生産地の一つとされる。,One of the main production areas for barley miso.,,,,
wasanbon,徳島県,上板町,34.1494,134.4272,名産地,竹糖の栽培に適した南向きの山麓が広がり、阿波和三盆糖の主産地とされる。,South-facing hillsides suited to growing chikuto cane make this the main production area for Awa wasanbon.,,,,
wasanbon,香川県,東かがわ市,34.2156,134.2814,名産地,讃岐和三盆糖の主産地とされる。,The main production area for Sanuki wasanbon.,,,,
kokuto,鹿児島県,奄美市,28.3775,129.4934,名産地,サトウキビ栽培に適した亜熱帯気候の奄美群島が、黒糖の主産地の一つとされる。,"The subtropical Amami island group, well suited to growing sugarcane, is one of the main black-sugar producing areas.",,,,
kokuto,沖縄県,石垣市,24.3448,124.1572,名産地,沖縄の離島群でサトウキビ栽培とともに黒糖づくりが行われているとされる。,Black sugar is made alongside sugarcane cultivation across Okinawa's outer islands.,,,,
katsuo,高知県,,33.5597,133.5311,本場,黒潮が沖合を通る土佐湾で、一本釣り漁が伝統的に盛んで、藁焼きたたきの発祥地とされる。,"The Kuroshio current runs just offshore of Tosa Bay, where pole-and-line fishing has long thrived and where straw-seared tataki is said to have originated.",https://ja.wikipedia.org/wiki/カツオのたたき,,,
katsuo,静岡県,焼津市,34.8672,138.3244,名産地,,,https://ja.wikipedia.org/wiki/焼津港,,,
katsuo,宮城県,気仙沼市,38.9086,141.5697,名産地,,,https://ja.wikipedia.org/wiki/気仙沼漁港,,,
sake-salmon,北海道,標津町,43.5813,145.1310,本場,知床半島の付け根に位置し、河川回帰する鮭の漁獲量で全国有数を誇る港町。,"A port town at the base of the Shiretoko Peninsula, among Japan's top landing sites for river-returning salmon.",https://ja.wikipedia.org/wiki/標津町,,,
sake-salmon,新潟県,村上市,38.2226,139.4767,本場,三面川で平安時代から続くとされる鮭漁と、一匹を余さず使う百種以上の郷土料理で知られる。,"Salmon fishing on the Miomote River is said to date to the Heian era, supporting over a hundred local dishes that use every part of the fish.",https://ja.wikipedia.org/wiki/村上市,,,
saba,大分県,大分市,33.2626,131.8983,本場,豊予海峡の速い潮に揉まれて育つ「関さば」は一本釣りで水揚げされ、活け締めで身が締まる。,"'Sekisaba', raised in the fast currents of the Bungo Channel and taken by pole-and-line, is prized for flesh firmed by the strong tidal flow.",https://ja.wikipedia.org/wiki/関さば,,,
saba,神奈川県,三浦市,35.2070,139.6720,本場,松輪地区の定置網で揚がる「松輪サバ」は脂のりが良く、江戸前の高級サバとして知られる。,"'Matsuwa saba', taken in set nets off the Matsuwa district, runs notably fatty and is prized as a premium Edomae mackerel.",https://ja.wikipedia.org/wiki/松輪サバ,,,
saba,青森県,八戸市,40.5122,141.4883,名産地,,,,,,
aji,大分県,佐伯市,32.9600,131.8994,本場,豊後水道の速い潮流にもまれて回遊せず居着くため、身が締まり脂がのった「関あじ」となる。,Fish held in place rather than migrating through the fast currents of the Bungo Channel firm up and fatten into the branded 'Sekiaji'.,https://ja.wikipedia.org/wiki/関あじ,,,
aji,静岡県,沼津市,35.0955,138.8636,名産地,,,,,,
iwashi,千葉県,銚子市,35.7347,140.8267,本場,親潮と黒潮がぶつかる好漁場に面し、水揚げ量で全国トップを争う漁港として知られる。,"Facing a rich fishing ground where the Oyashio and Kuroshio currents meet, this port regularly vies for Japan's largest sardine landings.",https://ja.wikipedia.org/wiki/銚子漁港,,,
iwashi,長崎県,,32.7503,129.8779,名産地,,,,,,
sanma,北海道,根室市,43.3304,145.5825,本場,秋にサンマの群れが接岸しやすい海域に面し、棒受け網漁で水揚げ量全国上位を占める。,"Facing waters where saury shoals come close to shore each autumn, this port lands among Japan's largest saury catches by stick-held dip net.",https://ja.wikipedia.org/wiki/根室市,,,
sanma,岩手県,大船渡市,39.0836,141.7108,名産地,,,,,,
buri,富山県,氷見市,36.8578,136.9863,本場,対馬暖流に乗って回遊するブリが越冬前に富山湾で脂を蓄えるため、定置網漁で「ひみ寒ぶり」として揚がる。,"Yellowtail fatten up in Toyama Bay along the Tsushima Current before wintering, and are taken in set nets as the branded 'Himi Kanburi'.",https://ja.wikipedia.org/wiki/氷見市,,,
buri,新潟県,佐渡市,38.0186,138.3691,名産地,,,,,,
kanpachi,鹿児島県,,31.5602,130.5581,名産地,,,,,,
kanpachi,高知県,,33.5597,133.5311,名産地,,,,,,
hiramasa,長崎県,五島市,32.6959,128.8419,名産地,,,,,,
tai-madai,愛媛県,宇和島市,33.2236,132.5600,本場,宇和海はリアス式で潮通しが良く、養殖生産量で全国有数を占める。,"The ria coastline of Uwa Sea gives strong tidal flow well suited to aquaculture, making the area one of Japan's leading farmed-tai producers.",https://ja.wikipedia.org/wiki/宇和島市,,,
tai-madai,兵庫県,明石市,34.6427,134.9932,本場,明石海峡の速い潮流にもまれて身が締まる「明石鯛」は、天然物の高級ブランドとして知られる。,"'Akashi tai', firmed by the fast currents of the Akashi Strait, is a premium branded wild seabream.",https://ja.wikipedia.org/wiki/明石市,,,
hirame,青森県,,40.8244,140.7400,名産地,,,,,,
hirame,福島県,,37.7503,140.4675,名産地,,,,,,
karei,北海道,釧路市,42.9849,144.3820,名産地,,,,,,
tara-madara,北海道,函館市,41.7687,140.7288,本場,津軽海峡に面し、江戸期から続く昆布〆や鍋文化と結びついた鱈漁が盛んな土地として知られる。,"Facing the Tsugaru Strait, this city has long paired its cod fishery with kombu-curing and hot-pot traditions dating to the Edo period.",https://ja.wikipedia.org/wiki/函館市,,,
hokke,北海道,根室市,43.3304,145.5825,本場,冷たい親潮の恵みを受ける海域に面し、開き干しの一夜干し文化とともに水揚げ量全国有数を誇る。,"Facing waters fed by the cold Oyashio current, this port lands among Japan's largest hokke catches alongside its overnight-dried himono tradition.",https://ja.wikipedia.org/wiki/根室市,,,
nishin,北海道,小樽市,43.1907,140.9947,本場,かつて群来と呼ばれる大群の産卵で沿岸が白く染まるほどの漁獲があり、鰊御殿群として今に残る。,Spawning shoals once ran so dense the coast turned white in what was called 'kuki' — the wealth they brought survives in the city's herring mansions.,https://ja.wikipedia.org/wiki/小樽市,,,
shishamo,北海道,むかわ町,42.5892,141.9006,本場,生息域が北海道太平洋沿岸に限られるため、鵡川など河口域での秋の遡上時が唯一の漁期となる。,"Because true shishamo live only along Hokkaido's Pacific coast, the autumn run up rivers like the Mukawa is the only window to catch them.",https://ja.wikipedia.org/wiki/むかわ町,,,
unagi,静岡県,浜松市,34.7108,137.7261,本場,汽水湖の浜名湖でシラスウナギが豊富に獲れたことから養鰻業が発達し、蒲焼の名産地となった。,"Abundant glass eels once caught in the brackish Lake Hamana gave rise to a major eel-farming industry, making the city a kabayaki stronghold.",https://ja.wikipedia.org/wiki/浜松市,,,
unagi,福岡県,柳川市,33.1638,130.4017,本場,掘割が巡る水郷の地で、蒸らして柔らかく仕上げるせいろ蒸しの調理法が根付いた。,"In this canal-laced water town, the steamed-then-served 'seiromushi' style of eel took root, softening the fish further.",https://ja.wikipedia.org/wiki/柳川市,,,
ayu,岐阜県,郡上市,35.7368,136.9642,本場,長良川は透明度の高い清流として知られ、鵜飼漁と友釣りの両方でアユ漁が受け継がれてきた。,"The Nagara River is renowned for its clarity, sustaining both cormorant fishing and tomo-zuri decoy fishing for ayu.",https://ja.wikipedia.org/wiki/長良川,,,
ayu,高知県,四万十市,32.9836,132.9346,本場,「最後の清流」と呼ばれる四万十川で、伝統漁法の柴漬け漁や火振り漁によるアユ漁が続く。,"On the Shimanto River, often called Japan's 'last clear stream', traditional methods like torch fishing still bring in ayu.",https://ja.wikipedia.org/wiki/四万十川,,,
iwana,長野県,,36.2048,138.2529,名産地,,,,,,
yamame,山形県,,38.2404,140.3633,名産地,,,,,,
nijimasu,静岡県,富士宮市,35.2226,138.6206,本場,富士山からの湧水を利用した養鱒が明治時代に始まった地とされ、「ニジマス発祥の地」を掲げる。,"Fed by spring water from Mt. Fuji, this city is said to be where rainbow trout farming began in the Meiji era, and calls itself its birthplace.",https://ja.wikipedia.org/wiki/富士宮市,,,
fugu-torafugu,山口県,下関市,33.9578,130.9414,本場,関門海峡に面したふぐ専門の南風泊市場を擁し、取扱量で全国一を占めるふぐの取引拠点とされる。,"Home to the Kanmon Strait-side Haedomari fugu market, this city handles the largest volume of pufferfish trade in Japan.",https://ja.wikipedia.org/wiki/下関市,,,
fugu-torafugu,熊本県,天草市,32.4636,130.1958,名産地,,,,,,
hamo,兵庫県,淡路市,34.3900,134.8917,本場,明石海峡と紀伊水道に挟まれ、京都・大阪への漁獲量供給地として「ハモの本場」の一つに数えられる。,"Sandwiched between the Akashi Strait and the Kii Channel, this island supplies much of the pike conger sold into Kyoto and Osaka.",https://ja.wikipedia.org/wiki/淡路市,,,
hamo,京都府,,35.0116,135.7681,本場,祇園祭が「鱧祭」とも呼ばれるほど夏の京料理と結びつき、骨切りの技術が磨かれてきた土地とされる。,"Kyoto's Gion Festival is nicknamed the 'hamo festival' for how deeply the fish is tied to its summer cuisine, honing the bone-cutting craft over centuries.",https://ja.wikipedia.org/wiki/祇園祭,,,
tachiuo,鹿児島県,指宿市,31.2500,130.6486,本場,黒潮に近い海域で一本釣りされる指宿のタチウオは、型が大きく「山川一本釣りたちうお」として知られる。,"Pole-and-line caught near the Kuroshio current, Ibusuki's beltfish run large and are known by the brand 'Yamakawa ippon-zuri tachiuo'.",https://ja.wikipedia.org/wiki/指宿市,,,
tachiuo,大阪府,堺市,34.5733,135.4830,名産地,,,,,,
kinmedai,静岡県,下田市,34.6767,138.9436,本場,相模灘の急深な海底が漁場となり、一本釣りで漁獲される「地金目」として稲取・下田で知られる。,"The steeply plunging seabed of Sagami Bay forms the fishing grounds, with pole-and-line 'ji-kinme' known through the ports of Inatori and Shimoda.",https://ja.wikipedia.org/wiki/下田市,,,
kinmedai,千葉県,勝浦市,35.1500,140.3167,名産地,,,,,,
nodoguro-akamutsu,島根県,浜田市,34.8971,132.0791,本場,日本海の急深な地形にある好漁場を抱え、一本釣り・底引き網で揚がる「どんちっち」ブランドで知られる。,"Facing a rich fishing ground over the Sea of Japan's steep seabed, the city markets its pole-and-line and trawl catch under the 'Donchicchi' brand.",https://ja.wikipedia.org/wiki/浜田市,,,
kamasu,神奈川県,小田原市,35.2547,139.1541,名産地,,,,,,
sawara,岡山県,,34.6551,133.9195,本場,瀬戸内海の好漁場を抱え、サワラの水揚げ量が全国有数で、祭り寿司の具として食文化に根付く。,"Facing the rich fishing grounds of the Seto Inland Sea, this prefecture lands among Japan's most Spanish mackerel and weaves it into its festival sushi.",https://ja.wikipedia.org/wiki/岡山県,,,
tobiuo,長崎県,対馬市,34.2064,129.2872,本場,対馬海流に面し、あごだしの原料として干して焼く「焼きあご」加工の伝統が続く。,"Facing the Tsushima Current, the island keeps alive the tradition of grilling and drying flying fish into 'yaki-ago' for dashi stock.",https://ja.wikipedia.org/wiki/対馬市,,,
tobiuo,長崎県,五島市,32.6959,128.8419,名産地,,,,,,
kisu,静岡県,浜松市,34.7108,137.7261,名産地,,,,,,
mebaru,広島県,,34.3853,132.4553,本場,瀬戸内海の岩礁域が好漁場となり、広島県はメバルを「県の魚」に定めるほど食文化に根付く。,"The rocky reefs of the Seto Inland Sea form prime habitat, and Hiroshima has designated mebaru its official prefectural fish.",https://ja.wikipedia.org/wiki/広島県,,,
kasago,長崎県,,32.7503,129.8779,名産地,,,,,,
anko,茨城県,大洗町,36.3167,140.5766,本場,黒潮と親潮がぶつかる好漁場に面し、吊るし切りとあんこう鍋の食文化が根付いた港町とされる。,"Facing a fishing ground where the Kuroshio and Oyashio currents meet, this port town is closely tied to the hung-carving method and its anko hot pot.",https://ja.wikipedia.org/wiki/大洗町,,,
kue,高知県,大月町,32.7000,132.5833,本場,柏島周辺の黒潮に面したリアス式海岸が漁場・養殖場となり、クエの一大産地として知られる。,"The Kuroshio-facing ria coastline around Kashiwajima serves as both fishing ground and farm site, making the town a leading source of kue.",https://ja.wikipedia.org/wiki/大月町,,,
kue,和歌山県,串本町,33.4767,135.7728,名産地,,,,,,
hata,長崎県,,32.7503,129.8779,名産地,,,,,,
isaki,千葉県,館山市,34.9959,139.8697,名産地,,,,,,
shimaaji,愛媛県,愛南町,32.9333,132.5667,本場,宇和海の穏やかな海域を利用した養殖が盛んで、シマアジの生産量で全国有数を占める。,"Calm waters in the Uwa Sea suit aquaculture well, making this town one of Japan's leading producers of farmed shimaaji.",https://ja.wikipedia.org/wiki/愛南町,,,
koi,福島県,郡山市,37.4004,140.3596,本場,明治期に安積疏水の整備で湧いた養魚池を活かしてコイ養殖が発展し、生産量で全国有数となった。,"Carp farming grew out of ponds fed by the Asaka Canal built in the Meiji era, making this city one of Japan's leading producers.",https://ja.wikipedia.org/wiki/郡山市,,,
wakasagi,茨城県,土浦市,36.0764,140.2000,本場,汽水湖の霞ヶ浦は餌となるプランクトンが豊富で、帆引き船漁の伝統とともにワカサギ漁が続く。,"The brackish Lake Kasumigaura is rich in plankton feed, and sailboat-net fishing traditions have long supported its smelt catch.",https://ja.wikipedia.org/wiki/霞ヶ浦,,,
wakasagi,北海道,千歳市,42.7883,141.6497,名産地,,,,,,
kibinago,鹿児島県,薩摩川内市,31.7967,129.8156,本場,甑島周辺の澄んだ海が漁場となり、鮮度が命の刺身文化とともにキビナゴ漁の中心地として知られる。,"The clear waters around the Koshikijima Islands form the fishing ground, and the town is a center of kibinago fishing built around its freshness-first sashimi culture.",https://ja.wikipedia.org/wiki/薩摩川内市,,,
shirasu,静岡県,静岡市,34.9697,138.4536,本場,駿河湾の深い海底地形が湧昇流を生み、由比・用宗の漁港でシラス漁が盛んな土地として知られる。,"The deep seabed topography of Suruga Bay drives upwelling currents, supporting active whitebait fisheries at the ports of Yui and Mochimune.",https://ja.wikipedia.org/wiki/静岡市,,,
shirasu,神奈川県,鎌倉市,35.3193,139.5467,名産地,,,,,,
utsubo,高知県,,33.5597,133.5311,本場,黒潮に面した漁場が近く、硬い皮を活かすから揚げなど独自の下処理技術が郷土料理として根付いた。,"Close to Kuroshio-facing fishing grounds, distinct prep methods that make use of its tough skin — like deep-frying — became rooted as local cuisine.",https://ja.wikipedia.org/wiki/高知県,,,
kinki-fish,北海道,羅臼町,44.0435,145.1900,本場,知床沖の水深数百メートルの深場が漁場となり、刺し網や延縄で漁獲される高級魚として知られる。,"Grounds several hundred meters deep off Shiretoko yield this premium fish, taken by gillnet and longline.",https://ja.wikipedia.org/wiki/羅臼町,,,
suzuki,千葉県,富津市,35.3011,139.8453,本場,東京湾奥の汽水域は稚魚の育成場となり、江戸前を代表する出世魚として漁が続けられてきた。,"The brackish waters at the head of Tokyo Bay serve as a nursery ground, sustaining the fishery for this classic Edomae 'shusseuo'.",https://ja.wikipedia.org/wiki/東京湾,,,
amadai,福井県,小浜市,35.4953,135.7458,本場,「鯖街道」の起点として、若狭湾で獲れたアマダイに一塩を施し徒歩で京都へ運んだ歴史を持つ。,"As the starting point of the old 'Saba Kaido' route, this port salted tilefish from Wakasa Bay lightly and carried it on foot to Kyoto.",https://ja.wikipedia.org/wiki/鯖街道,,,
mekajiki,宮城県,気仙沼市,38.9086,141.5697,本場,三陸沖の好漁場に面し、近海はえ縄漁を主体にメカジキの水揚げ量で全国有数を占める港として知られる。,"Facing the rich Sanriku fishing grounds, this port is known for landing among Japan's most swordfish, mainly by coastal longline.",https://ja.wikipedia.org/wiki/気仙沼市,,,
shirauo,島根県,松江市,35.4419,132.9926,本場,汽水湖の宍道湖は餌のプランクトンが豊富で、シラウオを含む「宍道湖七珍」の一つとして食文化に根付く。,"The brackish Lake Shinji is rich in plankton feed, and icefish are one of the 'seven Shinji delicacies' woven into the city's food culture.",https://ja.wikipedia.org/wiki/宍道湖,,,
ainame,宮城県,仙台市,38.2682,140.8694,名産地,,,,,,
hobo,石川県,七尾市,37.0433,136.9683,名産地,,,,,,
mutsugoro,佐賀県,鹿島市,33.0989,130.1000,本場,干満差が国内最大級の有明海の広大な干潟に生息域が限られ、突き漁など独自の漁法が伝わる。,"Confined to the vast mudflats of the Ariake Sea, which has among Japan's largest tidal range, mutsugoro fishing uses distinctive methods like spear-jabbing.",https://ja.wikipedia.org/wiki/有明海,,,
hatahata,秋田県,男鹿市,39.9086,139.8467,本場,雷鳴とともに産卵のため接岸する習性から「鰰」の字が当てられ、県魚として食文化の核をなす。,"Named with characters combining 'fish' and 'thunder' for its habit of coming ashore to spawn amid winter thunder, it forms the core of the prefecture's food identity.",https://ja.wikipedia.org/wiki/男鹿市,,,
hatahata,兵庫県,香美町,35.6333,134.6167,名産地,,,,,,
funa,滋賀県,近江八幡市,35.1281,136.0975,本場,琵琶湖の固有種ニゴロブナを塩と米飯で長期熟成させる、なれずしの製法が今も受け継がれている。,"The lake-endemic nigorobuna is salted and long-fermented with rice here, keeping alive the ancient narezushi method.",https://ja.wikipedia.org/wiki/ふなずし,,,
namazu,埼玉県,吉川市,35.9014,139.8264,本場,中川など水郷地帯の川魚食文化を受け継ぎ、「なまずの里」として養殖と町おこしに取り組む。,"Carrying on the river-fish food culture of this canal-laced region along the Naka River, the city farms catfish under the banner 'namazu no sato'.",https://ja.wikipedia.org/wiki/吉川市,,,
kawahagi,神奈川県,横須賀市,35.2833,139.6700,名産地,,,,,,
managatsuo,兵庫県,明石市,34.6427,134.9932,名産地,,,,,,
zuwaigani,福井県,越前町,35.97,135.96,本場,室町時代の記録にも残る漁の歴史を持ち、水揚げ後すぐ黄色いタグを付ける全国初のブランド認証制度で知られる。,"Its fishing history is documented back to the Muromachi era; landed crabs get Japan's first branded yellow tag, applied dockside.",https://www.pref.fukui.lg.jp/doc/suisan/ryutsu/echizengani_menu.html,,,
zuwaigani,鳥取県,鳥取市,35.5039,134.238,本場,鳥取港・網代港など山陰有数の水揚げ量を誇る港が集まり、松葉がにの名で古くから親しまれてきた。,"Several major Sanin-region ports cluster here, landing some of the country's largest crab catches under the name Matsuba-gani.",https://www.pref.tottori.lg.jp/178131.htm,,,
zuwaigani,京都府,京丹後市,35.766,135.099,本場,5隻ほどの小型底引き網船が日帰り操業する間人漁港に水揚げされ、船上で活〆することで鮮度の高さが際立つ。,"Landed at Taiza port by a handful of small trawlers that fish and return the same day, killed live aboard for exceptional freshness.",https://www.kyotango.gr.jp/foods/taiza-kani/,,,
tarabagani,北海道,根室市,43.33,145.5828,名産地,オホーツク海・根室海峡沿岸が主な水揚げ地とされる。,Landed mainly along the Okhotsk Sea and Nemuro Strait coast.,,,,
kegani,北海道,稚内市,45.4165,141.6733,名産地,オホーツク海沿岸を中心に北海道各地で水揚げされる。,"Landed around Hokkaido, especially along the Okhotsk Sea coast.",,,,
hanasakigani,北海道,根室市,43.33,145.5828,名産地,名の由来となった花咲半島周辺が主産地とされる。,Named for and mainly landed around the Hanasaki Peninsula.,,,,
watarigani,愛知県,西尾市,34.858,137.062,名産地,三河湾は古くからワタリガニ漁が盛んな海域とされる。,Mikawa Bay has long been a notable fishing ground for this crab.,,,,
ise-ebi,三重県,鳥羽市,34.4877,136.8434,名産地,リアス式海岸に囲まれた海域が主な漁場とされる。,Fished mainly in the ria-coast waters around Toba.,,,,
ise-ebi,千葉県,館山市,34.9959,139.8698,名産地,房総半島南部も伊勢海老の主産地の一つとされる。,The southern Boso Peninsula is also a major landing area.,,,,
kuruma-ebi,熊本県,天草市,32.459,130.2007,名産地,リアス式の天草の海が養殖の主産地の一つとされる。,The ria coast around Amakusa is a major farming area.,,,,
ama-ebi,富山県,富山市,36.6953,137.2113,名産地,急深な富山湾は深海性のこのエビが岸近くでも獲れる漁場とされる。,Toyama Bay's steep undersea slope lets this deep-water shrimp be caught close to shore.,https://www.toyama-sakana.com/archives/158,,,
botan-ebi,北海道,寿都町,42.7998,140.2223,名産地,日本海側の後志沿岸が主な漁場の一つとされる。,The Shiribeshi coast on the Sea of Japan side is among its main fishing grounds.,,,,
sakura-ebi,静岡県,静岡市,35.0116,138.4909,本場,急深な駿河湾特有の海洋条件から資源量の変動が大きく、由比港・大井川港の2港に限って春秋2回、期間を区切った操業が行われている。,"Suruga Bay's steep undersea topography makes stocks highly variable, so only two ports fish it, in two short licensed seasons a year.",https://www.pref.shizuoka.jp/sangyoshigoto/suisan/suisangyo/uocching/1003392/1043930/1028017.html,,,
